species,enc_id,rec_id,starttime,dd,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90
Dde,465,Ob16C_20161007_152757_721.wav,17,0.065536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0.193548387,0.129032258,0.096774194,0.129032258,0.129032258,0.096774194,0.064516129,0.129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,16,0.233606882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009090909,0.054545455,0.036363636,0.027272727,0.036363636,0.036363636,0.027272727,0.018181818,0.036363636,0,0.027272727,0.036363636,0.1,0.127272727,0.090909091,0.181818182,0.072727273,0.063636364,0.018181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,15,0.446900497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004739336,0.028436019,0.018957346,0.014218009,0.018957346,0.018957346,0.014218009,0.009478673,0.018957346,0,0.014218009,0.018957346,0.052132701,0.066350711,0.047393365,0.09478673,0.037914692,0.033175355,0.018957346,0.023696682,0.042654028,0.066350711,0.056872038,0.052132701,0.028436019,0.014218009,0.004739336,0.009478673,0.009478673,0,0,0,0,0,0.014218009,0.014218009,0.014218009,0.023696682,0.018957346,0.014218009,0.014218009,0.028436019,0.014218009,0.004739336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,14,0.438717875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024154589,0.048309179,0.072463768,0.082125604,0.062801932,0.111111111,0.06763285,0.033816425,0.019323671,0.024154589,0.043478261,0.06763285,0.057971014,0.053140097,0.028985507,0.014492754,0.004830918,0.009661836,0.009661836,0,0,0,0,0,0.014492754,0.014492754,0.014492754,0.024154589,0.019323671,0.014492754,0.014492754,0.028985507,0.014492754,0.004830918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,13,0.844189208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0475,0.0375,0.0475,0.025,0.02,0.015,0.0225,0.015,0.015,0.025,0.0375,0.0425,0.0325,0.0575,0.035,0.0175,0.01,0.02,0.04,0.0525,0.0625,0.07,0.0575,0.0625,0.035,0.005,0.005,0,0,0,0,0,0.0075,0.0075,0.0075,0.0125,0.01,0.0075,0.0075,0.015,0.0075,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,12,0.84320302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002493766,0.047381546,0.037406484,0.047381546,0.029925187,0.069825436,0.034912718,0.027431421,0.014962594,0.007481297,0.019950125,0.009975062,0.007481297,0.007481297,0.007481297,0.014962594,0,0.004987531,0.019950125,0.069825436,0.112219451,0.072319202,0.074812968,0.057356608,0.067331671,0.037406484,0.007481297,0.004987531,0,0,0,0,0,0.007481297,0.007481297,0.007481297,0.012468828,0.009975062,0.007481297,0.007481297,0.014962594,0.007481297,0.002493766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,11,0.759173979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0.016620499,0.008310249,0.005540166,0,0,0,0,0,0.002770083,0.052631579,0.041551247,0.052631579,0.033240997,0.077562327,0.038781163,0.030470914,0.016620499,0.008310249,0.022160665,0.011080332,0.008310249,0.008310249,0.008310249,0.016620499,0,0,0.041551247,0.105263158,0.085872576,0.047091413,0.052631579,0.047091413,0.066481994,0.038781163,0.002770083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,10,0.749426242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053370787,0.016853933,0.008426966,0.005617978,0,0,0,0,0,0.002808989,0.053370787,0.042134831,0.053370787,0.033707865,0.078651685,0.039325843,0.030898876,0.016853933,0.002808989,0.005617978,0,0,0,0,0.002808989,0.014044944,0.005617978,0.047752809,0.112359551,0.092696629,0.050561798,0.064606742,0.056179775,0.06741573,0.039325843,0.002808989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,9,0.467691179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085972851,0.027149321,0.013574661,0.009049774,0,0,0,0,0,0,0,0.031674208,0.054298643,0.036199095,0.104072398,0.063348416,0.049773756,0.022624434,0.004524887,0.049773756,0,0,0,0,0.004524887,0.022624434,0.009049774,0.063348416,0.149321267,0.117647059,0.022624434,0.027149321,0.013574661,0.009049774,0.004524887,0.004524887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,8,0.597971751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067137809,0.021201413,0.010600707,0.007067138,0,0,0,0,0,0,0,0.024734982,0.042402827,0.021201413,0.010600707,0.021201413,0.03180212,0.017667845,0.003533569,0.038869258,0.028268551,0.035335689,0.024734982,0.03180212,0.03180212,0.060070671,0.074204947,0.187279152,0.159010601,0.021201413,0.003533569,0.014134276,0.010600707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,7,0.6779981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021806854,0.037383178,0.018691589,0.009345794,0.018691589,0.028037383,0.015576324,0.003115265,0.040498442,0.034267913,0.059190031,0.052959502,0.049844237,0.052959502,0.062305296,0.08411215,0.15576324,0.121495327,0.102803738,0.009345794,0.012461059,0.009345794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,6,0.866753771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00973236,0.03406326,0.04379562,0.01946472,0.00729927,0.01703163,0.02676399,0.01216545,0.00243309,0.03163017,0.02676399,0.051094891,0.051094891,0.060827251,0.070559611,0.075425791,0.080291971,0.145985401,0.109489051,0.090024331,0.01703163,0.01459854,0.00243309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,5,0.78925863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010695187,0.018716578,0.016042781,0.005347594,0,0.002673797,0.005347594,0,0,0.010695187,0.029411765,0.056149733,0.056149733,0.06684492,0.077540107,0.082887701,0.088235294,0.163101604,0.14171123,0.131016043,0.018716578,0.016042781,0.002673797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,4,0.491145947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0.030172414,0.025862069,0.00862069,0,0.004310345,0.00862069,0,0,0.00862069,0.012931034,0.047413793,0.060344828,0.068965517,0.090517241,0.081896552,0.060344828,0.094827586,0.125,0.193965517,0.030172414,0.025862069,0.004310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,3,0.591587962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014234875,0.024911032,0.021352313,0.007117438,0,0.003558719,0.007117438,0,0,0.024911032,0.067615658,0.09252669,0.039145907,0.074733096,0.09252669,0.078291815,0.03202847,0.081850534,0.074733096,0.110320285,0.106761566,0.042704626,0.003558719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,2,0.354839716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041420118,0.112426036,0.142011834,0.041420118,0.071005917,0.076923077,0.035502959,0.00591716,0.065088757,0.076923077,0.147928994,0.147928994,0.035502959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,1,0.416574171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0.015151515,0.03030303,0.025252525,0.01010101,0,0,0,0.035353535,0.095959596,0.121212121,0.035353535,0.060606061,0.065656566,0.03030303,0.015151515,0.116161616,0.050505051,0.101010101,0.131313131,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152757_721.wav,0,0.716311474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008902077,0.005934718,0.008902077,0.026706231,0.014836795,0.011869436,0.035608309,0.014836795,0.005934718,0.011869436,0.06231454,0.023738872,0.023738872,0.09495549,0.083086053,0.020771513,0.044510386,0.065281899,0.053412463,0.050445104,0.071216617,0.035608309,0.06231454,0.086053412,0.026706231,0.005934718,0.008902077,0.011869436,0.023738872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152509_949.wav,165,0.284710146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051851852,0.044444444,0.022222222,0.014814815,0.014814815,0.007407407,0.014814815,0.014814815,0.103703704,0.037037037,0.037037037,0.014814815,0.022222222,0.02962963,0,0,0.037037037,0.051851852,0.051851852,0.022222222,0.014814815,0.014814815,0.022222222,0.014814815,0.007407407,0.007407407,0.02962963,0.014814815,0.014814815,0.02962963,0.014814815,0.014814815,0.007407407,0.022222222,0.007407407,0.014814815,0.022222222,0.014814815,0.014814815,0.007407407,0.014814815,0.014814815,0.007407407,0.007407407,0.007407407,0.007407407,0.007407407,0,0.014814815,0.014814815,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152509_949.wav,164,0.712508113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021021021,0.018018018,0.012012012,0.099099099,0.09009009,0.012012012,0.006006006,0.006006006,0.042042042,0.015015015,0.015015015,0.063063063,0.042042042,0.042042042,0.057057057,0.018018018,0.036036036,0.036036036,0.039039039,0.042042042,0.051051051,0.084084084,0.009009009,0.006006006,0.003003003,0.003003003,0.012012012,0.006006006,0.006006006,0.012012012,0.006006006,0.006006006,0.003003003,0.009009009,0.003003003,0.006006006,0.009009009,0.006006006,0.006006006,0.003003003,0.006006006,0.006006006,0.003003003,0.003003003,0.003003003,0.003003003,0.003003003,0,0.006006006,0.006006006,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152509_949.wav,163,0.894459087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0.014285714,0.00952381,0.078571429,0.071428571,0.00952381,0.004761905,0.069047619,0.023809524,0.016666667,0.016666667,0.064285714,0.035714286,0.042857143,0.05,0.038095238,0.045238095,0.052380952,0.057142857,0.04047619,0.047619048,0.071428571,0.00952381,0.004761905,0.002380952,0.002380952,0.00952381,0.004761905,0.004761905,0.00952381,0.004761905,0.004761905,0.002380952,0.007142857,0.002380952,0.004761905,0.007142857,0.004761905,0.004761905,0.002380952,0.004761905,0.004761905,0.002380952,0.002380952,0.002380952,0.002380952,0.002380952,0,0.004761905,0.004761905,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152509_949.wav,162,1.115862471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0.011428571,0.007619048,0.062857143,0.060952381,0.020952381,0.013333333,0.076190476,0.019047619,0.017142857,0.028571429,0.055238095,0.034285714,0.04,0.043809524,0.036190476,0.038095238,0.045714286,0.051428571,0.034285714,0.04,0.066666667,0.020952381,0.015238095,0.007619048,0.001904762,0.007619048,0.003809524,0.003809524,0.007619048,0.003809524,0.003809524,0.001904762,0.00952381,0.007619048,0.007619048,0.011428571,0.007619048,0.011428571,0.005714286,0.011428571,0.013333333,0.003809524,0.001904762,0.001904762,0.001904762,0.001904762,0,0.003809524,0.003809524,0,0,0,0,0,0,0,0,0,0,0
Dde,465,Ob16C_20161007_152509_949.wav,161,0.966987031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002207506,0.068432671,0.066225166,0.022075055,0.011037528,0.08388521,0.01986755,0.015452539,0.030905077,0.059602649,0.033112583,0.037527594,0.050772627,0.041942605,0.033112583,0.037527594,0.04415011,0.033112583,0.041942605,0.079470199,0.024282561,0.015452539,0.011037528,0.002207506,0.004415011,0.004415011,0.002207506,0.004415011,0.002207506,0.002207506,0.006622517,0.030905077,0.01986755,0.011037528,0.006622517,0.004415011,0.008830022,0.004415011,0.008830022,0.011037528,0.002207506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
